time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1614983156.25	0.0	0.417	0.08	0.087	0.019	0.962	0.971	0.962	1.0	79.0	83.0	83.0	76.0	
1614983156.45	0.0	0.222	0.238	0.15	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983156.65	0.0	0.7	0.632	0.316	0.1	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983156.85	8.848	0.389	0.211	0.85	0.1	1.0	0.95	1.0	0.95	79.0	83.0	83.0	76.0	
1614983157.05	8.848	0.684	0.111	0.1	0.158	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983157.25	8.848	0.158	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983157.45	8.848	0.118	0.05	0.0	0.048	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983157.65	8.848	0.238	0.0	0.05	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983157.85	9.206	0.167	0.095	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	77.0	
1614983158.05	9.206	0.158	0.1	0.0	0.0	1.0	1.0	1.0	1.0	79.0	83.0	83.0	76.0	
1614983158.25	9.206	0.158	0.05	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983158.45	9.206	0.118	0.211	0.05	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983158.65	9.206	0.316	0.3	0.05	0.0	1.0	1.0	1.0	1.0	80.0	84.0	83.0	77.0	
1614983158.85	8.722	0.167	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983159.05	8.722	0.158	0.0	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983159.25	8.722	0.118	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983159.45	8.722	0.25	0.0	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983159.65	8.722	0.2	0.05	0.048	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983159.85	8.615	0.263	0.05	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983160.05	8.615	0.111	0.0	0.0	0.0	1.0	1.0	1.0	1.0	79.0	83.0	83.0	76.0	
1614983160.26	8.615	0.211	0.0	0.048	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983160.46	8.615	0.167	0.053	0.0	0.0	1.0	0.95	1.0	0.952	80.0	85.0	84.0	77.0	
1614983160.66	8.615	0.722	0.0	0.05	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983160.86	9.252	0.81	0.278	0.105	0.048	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983161.06	9.252	0.118	0.095	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983161.26	9.252	0.15	0.0	0.048	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983161.46	9.252	0.25	0.0	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983161.66	9.252	0.111	0.048	0.0	0.0	0.95	0.952	0.95	1.0	80.0	84.0	84.0	77.0	
1614983161.86	9.252	0.167	0.0	0.048	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983162.06	8.775	0.158	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983162.26	8.775	0.158	0.05	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	83.0	77.0	
1614983162.46	8.775	0.222	0.1	0.0	0.0	1.0	1.0	1.0	1.0	79.0	83.0	83.0	76.0	
1614983162.66	8.775	0.158	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983162.86	8.775	0.167	0.05	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983163.06	8.962	0.158	0.048	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983163.26	8.962	0.118	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983163.46	8.962	0.211	0.0	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983163.66	8.962	0.167	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983163.86	9.145	0.167	0.0	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983164.06	9.145	0.158	0.05	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983164.26	9.145	0.238	0.0	0.091	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983164.46	9.145	0.176	0.053	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983164.67	9.145	0.158	0.048	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983164.87	9.321	0.176	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	83.0	77.0	
1614983165.07	9.321	0.2	0.0	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	76.0	
1614983165.27	9.321	0.158	0.0	0.048	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983165.47	9.321	0.222	0.0	0.0	0.0	1.0	1.0	1.0	1.0	79.0	84.0	83.0	77.0	
1614983165.67	9.321	0.211	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983165.87	8.687	0.211	0.05	0.048	0.048	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
