time	W	Freq	Temp
1614991143.69	0.0	2000000	62.0	
1614991143.89	0.0	2000000	58.0	
1614991144.09	4.729	2000000	58.0	
1614991144.29	4.729	2000000	58.0	
1614991144.49	4.729	2000000	58.0	
1614991144.69	4.729	2000000	58.0	
1614991144.89	4.729	2000000	57.0	
1614991145.09	3.928	2000000	57.0	
1614991145.29	3.928	2000000	57.0	
1614991145.49	3.928	2000000	57.0	
1614991145.69	3.928	2000000	58.0	
1614991145.89	3.928	2000000	57.0	
1614991146.09	3.962	2000000	57.0	
1614991146.29	3.962	2000000	57.0	
1614991146.49	3.962	2000000	58.0	
1614991146.69	3.962	2000000	57.0	
1614991146.89	3.893	2000000	58.0	
1614991147.09	3.893	2000000	57.0	
1614991147.29	3.893	2000000	57.0	
1614991147.49	3.893	2000000	57.0	
1614991147.69	3.893	2000000	57.0	
1614991147.89	3.893	2000000	58.0	
1614991148.09	3.92	2000000	57.0	
1614991148.29	3.92	2000000	57.0	
1614991148.49	3.92	2000000	57.0	
1614991148.69	3.92	2000000	57.0	
1614991148.89	3.897	2000000	57.0	
1614991149.09	3.897	2000000	57.0	
1614991149.29	3.897	2000000	57.0	
1614991149.49	3.897	2000000	57.0	
1614991149.69	3.897	2000000	57.0	
1614991149.89	3.931	2000000	57.0	
1614991150.09	3.931	2000000	57.0	
1614991150.29	3.931	2000000	57.0	
1614991150.49	3.931	2000000	57.0	
1614991150.7	3.931	2000000	57.0	
1614991150.9	3.882	2000000	57.0	
1614991151.1	3.882	2000000	57.0	
1614991151.3	3.882	2000000	57.0	
1614991151.5	3.882	2000000	57.0	
1614991151.7	3.882	2000000	57.0	
1614991151.9	3.916	2000000	57.0	
1614991152.1	3.916	2000000	57.0	
1614991152.3	3.916	2000000	58.0	
1614991152.5	3.916	2000000	57.0	
1614991152.7	3.916	2000000	57.0	
1614991152.9	3.916	2000000	57.0	
1614991153.1	3.893	2000000	57.0	
1614991153.3	3.893	2000000	57.0	
1614991153.5	3.893	2000000	57.0	
1614991153.7	3.893	2000000	57.0	
1614991153.9	3.893	2000000	57.0	
1614991154.1	3.928	2000000	57.0	
1614991154.3	3.928	2000000	57.0	
1614991154.5	3.928	2000000	57.0	
1614991154.7	3.928	2000000	57.0	
1614991154.9	3.928	2000000	57.0	
1614991155.1	3.943	2000000	57.0	
1614991155.3	3.943	2000000	57.0	
1614991155.5	3.943	2000000	57.0	
1614991155.7	3.943	2000000	57.0	
1614991155.9	3.943	2000000	57.0	
1614991156.1	3.886	2000000	58.0	
1614991156.3	3.886	2000000	57.0	
1614991156.5	3.886	2000000	57.0	
1614991156.7	3.886	2000000	57.0	
1614991156.9	3.886	2000000	57.0	
1614991157.1	3.916	2000000	57.0	
1614991157.3	3.916	2000000	57.0	
1614991157.5	3.916	2000000	57.0	
1614991157.7	3.916	2000000	57.0	
1614991157.9	3.916	2000000	57.0	
1614991158.1	3.943	2000000	57.0	
1614991158.3	3.943	2000000	57.0	
1614991158.5	3.943	2000000	57.0	
1614991158.7	3.943	2000000	57.0	
1614991158.91	3.943	2000000	57.0	
1614991159.11	3.912	2000000	57.0	
1614991159.31	3.912	2000000	57.0	
1614991159.51	3.912	2000000	62.0	
1614991159.71	3.912	2000000	72.0	
1614991159.91	9.229	2000000	77.0	
1614991160.11	9.229	2000000	81.0	
1614991160.31	9.229	2000000	80.0	
1614991160.51	9.229	2000000	83.0	
1614991160.71	9.229	1900000	81.0	
1614991160.91	10.309	2000000	81.0	
1614991161.11	10.309	2000000	85.0	
1614991161.31	10.309	1900000	80.0	
1614991161.51	10.309	2000000	84.0	
1614991161.71	10.309	1900000	87.0	
1614991161.91	10.309	1900000	83.0	
1614991162.11	10.309	2000000	87.0	
1614991162.31	11.832	1900000	84.0	
1614991162.51	11.832	2000000	85.0	
1614991162.71	11.832	1900000	88.0	
1614991162.91	11.832	1800000	81.0	
1614991163.11	12.13	1900000	84.0	
1614991163.31	12.13	1900000	85.0	
1614991163.51	12.13	1800000	80.0	
1614991163.72	12.13	1900000	84.0	
1614991163.92	10.183	1800000	84.0	
1614991164.12	10.183	1900000	81.0	
1614991164.32	10.183	1900000	84.0	
1614991164.52	10.183	1800000	83.0	
1614991164.72	10.183	1900000	82.0	
1614991164.92	9.958	1900000	84.0	
1614991165.12	9.958	1900000	83.0	
1614991165.32	9.958	1900000	84.0	
1614991165.52	9.958	1800000	84.0	
1614991165.72	9.958	1900000	82.0	
1614991165.92	9.905	1800000	85.0	
1614991166.12	9.905	1800000	84.0	
1614991166.32	9.905	1900000	81.0	
1614991166.52	9.905	1900000	85.0	
1614991166.72	9.905	1800000	86.0	
1614991166.92	9.905	1800000	82.0	
1614991167.12	11.012	1900000	85.0	
1614991167.32	11.012	1800000	84.0	
1614991167.52	11.012	1900000	83.0	
1614991167.72	11.012	1800000	86.0	
1614991167.92	10.748	1800000	84.0	
1614991168.12	10.748	1900000	84.0	
1614991168.33	10.748	1800000	85.0	
1614991168.53	10.748	1900000	82.0	
1614991168.73	10.748	1900000	85.0	
1614991168.93	8.981	1800000	85.0	
1614991169.13	8.981	1900000	82.0	
1614991169.33	8.981	1800000	85.0	
1614991169.53	8.981	1800000	84.0	
1614991169.73	8.981	1900000	82.0	
1614991169.93	9.874	1800000	84.0	
1614991170.13	9.874	1900000	85.0	
1614991170.33	9.874	1900000	84.0	
1614991170.53	9.874	1800000	84.0	
1614991170.73	9.874	1800000	84.0	
1614991170.93	9.874	1900000	84.0	
1614991171.13	9.874	1800000	86.0	
1614991171.33	9.786	1800000	83.0	
1614991171.53	9.786	1900000	85.0	
1614991171.73	9.786	1700000	85.0	
1614991171.93	9.786	1700000	81.0	
1614991172.13	9.939	1800000	83.0	
1614991172.33	9.939	1800000	83.0	
1614991172.53	9.939	1800000	81.0	
1614991172.73	9.939	1900000	84.0	
1614991172.93	8.535	1900000	86.0	
1614991173.13	8.535	1700000	82.0	
1614991173.34	8.535	1800000	83.0	
1614991173.54	8.535	1800000	84.0	
1614991173.74	8.535	1800000	82.0	
1614991173.94	8.741	1900000	84.0	
1614991174.14	8.741	1800000	85.0	
1614991174.34	8.741	1900000	84.0	
1614991174.54	8.741	1800000	86.0	
1614991174.74	8.741	1800000	85.0	
1614991174.94	9.141	1900000	85.0	
1614991175.14	9.141	1700000	85.0	
1614991175.34	9.141	1700000	82.0	
1614991175.54	9.141	1800000	83.0	
1614991175.74	9.141	1800000	84.0	
1614991175.94	9.141	1700000	82.0	
1614991176.14	8.809	1800000	83.0	
1614991176.34	8.809	1800000	84.0	
1614991176.54	8.809	1800000	82.0	
1614991176.74	8.809	1900000	85.0	
1614991176.94	8.611	1800000	86.0	
1614991177.14	8.611	1900000	82.0	
1614991177.34	8.611	1900000	86.0	
1614991177.54	8.611	1700000	85.0	
1614991177.74	8.611	1800000	81.0	
1614991177.94	7.985	1800000	84.0	
1614991178.14	7.985	1800000	85.0	
1614991178.35	7.985	1700000	81.0	
1614991178.55	7.985	1800000	84.0	
1614991178.75	7.985	1800000	85.0	
1614991178.95	9.393	1800000	83.0	
1614991179.15	9.393	1800000	84.0	
1614991179.35	9.393	1800000	85.0	
1614991179.55	9.393	1900000	83.0	
1614991179.75	9.393	1800000	86.0	
1614991179.95	9.233	1800000	86.0	
1614991180.15	9.233	1800000	84.0	
1614991180.35	9.233	1800000	86.0	
1614991180.55	9.233	1700000	84.0	
1614991180.75	9.233	1800000	83.0	
1614991180.95	7.863	1800000	84.0	
1614991181.15	7.863	1800000	83.0	
1614991181.35	7.863	1900000	84.0	
1614991181.55	7.863	1800000	86.0	
1614991181.75	7.863	1800000	83.0	
1614991181.95	7.863	1900000	87.0	
1614991182.15	8.626	1700000	86.0	
1614991182.35	8.626	1700000	82.0	
1614991182.55	8.626	1800000	85.0	
1614991182.75	8.626	1800000	85.0	
1614991182.95	9.073	1700000	81.0	
1614991183.16	9.073	1800000	83.0	
1614991183.36	9.073	1800000	84.0	
1614991183.56	9.073	1800000	82.0	
1614991183.76	9.073	1800000	84.0	
1614991183.96	8.515	1800000	85.0	
1614991184.16	8.515	1800000	83.0	
1614991184.36	8.515	1900000	87.0	
1614991184.56	8.515	1700000	85.0	
1614991184.76	8.515	1800000	83.0	
1614991184.96	8.092	1800000	85.0	
1614991185.16	8.092	1700000	85.0	
1614991185.36	8.092	1700000	82.0	
1614991185.56	8.092	1800000	84.0	
1614991185.76	8.092	1700000	84.0	
1614991185.96	8.741	1700000	82.0	
1614991186.16	8.741	1800000	84.0	
1614991186.36	8.741	1700000	84.0	
1614991186.56	8.741	1800000	83.0	
1614991186.76	8.741	1800000	85.0	
1614991186.96	8.386	1700000	83.0	
1614991187.16	8.386	1800000	83.0	
1614991187.36	8.386	1700000	85.0	
1614991187.56	8.386	1700000	82.0	
1614991187.76	8.386	1800000	83.0	
1614991187.97	8.057	1800000	85.0	
1614991188.17	8.057	1800000	83.0	
1614991188.37	8.057	1800000	84.0	
1614991188.57	8.057	1800000	85.0	
1614991188.77	8.057	1700000	82.0	
1614991188.97	8.657	1800000	84.0	
1614991189.17	8.657	1700000	85.0	
1614991189.37	8.657	1700000	81.0	
1614991189.57	8.657	1800000	84.0	
1614991189.77	8.657	1700000	84.0	
1614991189.97	8.668	1700000	81.0	
1614991190.17	8.668	1800000	84.0	
1614991190.37	8.668	1700000	84.0	
1614991190.57	8.668	1800000	81.0	
1614991190.77	8.668	1800000	84.0	
1614991190.97	8.21	1800000	85.0	
1614991191.17	8.21	1800000	82.0	
1614991191.37	8.21	1800000	86.0	
1614991191.57	8.21	1700000	84.0	
1614991191.77	8.21	1800000	83.0	
1614991191.97	7.97	1800000	84.0	
1614991192.17	7.97	1700000	84.0	
1614991192.37	7.97	1700000	82.0	
1614991192.57	7.97	1800000	84.0	
1614991192.77	7.97	1800000	85.0	
