time	W	Freq	Temp
1615070808.85	0.0	2000000	61.0	
1615070809.05	0.0	2000000	56.0	
1615070809.25	0.0	2000000	55.0	
1615070809.45	0.0	2000000	55.0	
1615070809.65	0.0	2000000	55.0	
1615070809.85	0.0	2000000	55.0	
1615070810.05	3.882	2000000	55.0	
1615070810.25	3.882	2000000	55.0	
1615070810.45	3.882	2000000	55.0	
1615070810.65	3.882	2000000	55.0	
1615070810.85	3.87	2000000	55.0	
1615070811.05	3.87	2000000	55.0	
1615070811.25	3.87	2000000	55.0	
1615070811.45	3.87	2000000	55.0	
1615070811.65	3.87	2000000	55.0	
1615070811.85	3.87	2000000	55.0	
1615070812.05	3.863	2000000	55.0	
1615070812.25	3.863	2000000	55.0	
1615070812.45	3.863	2000000	55.0	
1615070812.65	3.863	2000000	55.0	
1615070812.85	3.859	2000000	55.0	
1615070813.05	3.859	2000000	55.0	
1615070813.25	3.859	2000000	55.0	
1615070813.45	3.859	2000000	55.0	
1615070813.65	3.859	2000000	55.0	
1615070813.85	3.935	2000000	55.0	
1615070814.05	3.935	2000000	55.0	
1615070814.25	3.935	2000000	55.0	
1615070814.45	3.935	2000000	55.0	
1615070814.65	3.935	2000000	55.0	
1615070814.85	3.901	2000000	55.0	
1615070815.05	3.901	2000000	55.0	
1615070815.25	3.901	2000000	55.0	
1615070815.45	3.901	2000000	55.0	
1615070815.65	3.901	2000000	55.0	
1615070815.85	3.87	2000000	55.0	
1615070816.05	3.87	2000000	55.0	
1615070816.25	3.87	2000000	55.0	
1615070816.46	3.87	2000000	55.0	
1615070816.66	3.87	2000000	55.0	
1615070816.86	3.847	2000000	55.0	
1615070817.06	3.847	2000000	55.0	
1615070817.26	3.847	2000000	55.0	
1615070817.46	3.847	2000000	55.0	
1615070817.66	3.847	2000000	55.0	
1615070817.86	3.855	2000000	55.0	
1615070818.06	3.855	2000000	55.0	
1615070818.26	3.855	2000000	55.0	
1615070818.46	3.855	2000000	55.0	
1615070818.66	3.855	2000000	55.0	
1615070818.86	3.847	2000000	55.0	
1615070819.06	3.847	2000000	55.0	
1615070819.26	3.847	2000000	55.0	
1615070819.46	3.847	2000000	55.0	
1615070819.66	3.847	2000000	55.0	
1615070819.86	3.855	2000000	55.0	
1615070820.06	3.855	2000000	55.0	
1615070820.26	3.855	2000000	55.0	
1615070820.46	3.855	2000000	55.0	
1615070820.66	3.855	2000000	55.0	
1615070820.86	3.855	2000000	55.0	
1615070821.06	3.889	2000000	55.0	
1615070821.26	3.889	2000000	55.0	
1615070821.46	3.889	2000000	55.0	
1615070821.66	3.889	2000000	55.0	
1615070821.86	3.889	2000000	55.0	
1615070822.06	3.901	2000000	55.0	
1615070822.26	3.901	2000000	55.0	
1615070822.46	3.901	2000000	55.0	
1615070822.66	3.901	2000000	55.0	
1615070822.86	3.847	2000000	55.0	
1615070823.06	3.847	2000000	55.0	
1615070823.26	3.847	2000000	55.0	
1615070823.46	3.847	2000000	55.0	
1615070823.66	3.847	2000000	55.0	
1615070823.86	3.84	2000000	55.0	
1615070824.06	3.84	2000000	64.0	
