time	W	Freq	Temp
1615072286.33	0.0	1700000	57.0	
1615072286.53	0.0	1800000	55.0	
1615072286.73	4.012	1900000	54.0	
1615072286.93	4.012	2000000	55.0	
1615072287.13	4.012	2000000	55.0	
1615072287.33	4.012	2000000	55.0	
1615072287.53	4.012	2000000	55.0	
1615072287.73	3.897	2000000	55.0	
1615072287.93	3.897	2000000	66.0	
1615072288.13	3.897	2000000	68.0	
1615072288.33	3.897	2000000	69.0	
1615072288.53	3.897	1900000	69.0	
1615072288.73	3.897	2000000	69.0	
1615072288.93	3.897	1900000	70.0	
1615072289.13	5.859	2000000	70.0	
1615072289.33	5.859	1900000	70.0	
1615072289.53	5.859	1800000	69.0	
1615072289.73	5.859	1900000	68.0	
1615072289.93	5.748	2000000	70.0	
1615072290.13	5.748	1900000	70.0	
1615072290.33	5.748	1800000	69.0	
1615072290.53	5.748	1900000	69.0	
1615072290.73	5.748	2000000	70.0	
1615072290.93	5.748	1900000	71.0	
1615072291.13	5.378	1800000	69.0	
1615072291.33	5.378	1900000	69.0	
1615072291.53	5.378	1800000	69.0	
1615072291.73	5.378	1900000	69.0	
1615072291.93	5.378	1800000	69.0	
1615072292.13	5.424	1900000	69.0	
1615072292.34	5.424	2000000	71.0	
1615072292.54	5.424	1900000	71.0	
1615072292.74	5.645	1800000	70.0	
1615072292.94	5.645	1900000	69.0	
1615072293.14	5.645	1800000	69.0	
1615072293.34	5.645	1900000	69.0	
1615072293.54	5.645	1800000	69.0	
1615072293.74	5.645	1900000	69.0	
1615072293.94	5.523	1800000	69.0	
1615072294.14	5.523	1900000	69.0	
1615072294.34	5.523	1800000	69.0	
1615072294.54	5.523	1900000	69.0	
1615072294.74	5.523	1800000	69.0	
1615072294.94	5.363	1900000	69.0	
1615072295.14	5.363	1800000	69.0	
1615072295.34	5.363	1900000	69.0	
1615072295.54	5.363	1800000	69.0	
1615072295.74	5.389	1900000	69.0	
1615072295.94	5.389	1800000	69.0	
1615072296.14	5.389	1900000	69.0	
1615072296.34	5.389	1800000	69.0	
1615072296.54	5.389	1900000	69.0	
1615072296.74	5.428	1800000	69.0	
1615072296.94	5.428	1900000	69.0	
