time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1614981665.05	0.0	0.05	0.0	0.0	0.0	1.0	0.0	0.01	0.0	81.0	72.0	69.0	66.0	
1614981665.25	0.0	0.05	0.0	0.0	0.0	1.0	0.0	0.048	0.0	82.0	72.0	69.0	66.0	
1614981665.45	0.0	0.0	0.0	0.0	0.0	1.0	0.05	0.0	0.0	81.0	72.0	69.0	66.0	
1614981665.65	0.0	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	81.0	72.0	69.0	66.0	
1614981665.85	6.825	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	81.0	72.0	69.0	66.0	
1614981666.05	6.825	0.048	0.0	0.0	0.0	1.0	0.048	0.0	0.0	81.0	72.0	69.0	66.0	
1614981666.25	6.825	0.053	0.0	0.0	0.0	1.0	0.0	0.0	0.0	81.0	72.0	69.0	66.0	
1614981666.45	6.825	0.048	0.0	0.0	0.0	1.0	0.0	0.0	0.0	81.0	72.0	69.0	66.0	
1614981666.65	6.825	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	81.0	72.0	69.0	66.0	
1614981666.85	6.916	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981667.05	6.916	0.053	0.0	0.0	0.0	1.0	0.05	0.0	0.0	81.0	72.0	69.0	66.0	
1614981667.25	6.916	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	81.0	72.0	69.0	66.0	
1614981667.45	6.916	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	81.0	72.0	69.0	66.0	
1614981667.65	6.916	0.048	0.0	0.0	0.0	1.0	0.0	0.0	0.0	81.0	72.0	69.0	66.0	
1614981667.85	6.916	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981668.05	7.008	0.1	0.0	0.0	0.0	1.0	0.05	0.0	0.0	81.0	72.0	69.0	66.0	
1614981668.25	7.008	0.0	0.0	0.0	0.0	1.0	0.048	0.0	0.0	81.0	72.0	69.0	66.0	
1614981668.45	7.008	0.095	0.0	0.0	0.0	1.0	0.05	0.0	0.048	82.0	72.0	69.0	66.0	
1614981668.65	7.008	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981668.85	7.008	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981669.05	6.912	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	73.0	69.0	66.0	
1614981669.25	6.912	0.048	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981669.45	6.912	0.053	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981669.65	6.912	0.048	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981669.85	7.0	0.053	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981670.05	7.0	0.048	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981670.25	7.0	0.0	0.0	0.0	0.0	1.0	0.048	0.0	0.0	82.0	72.0	69.0	66.0	
1614981670.45	7.0	0.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981670.65	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981670.85	7.05	0.05	0.0	0.0	0.0	1.0	0.05	0.0	0.0	82.0	72.0	69.0	66.0	
1614981671.05	7.05	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	82.0	72.0	69.0	66.0	
1614981671.25	7.05	0.05	0.0	0.0	0.0	1.0	0.05	0.0	0.0	82.0	73.0	69.0	66.0	
